"Province","Lag_Numeric","Lag_Description","RR","Lower","Upper"
"กรุงเทพมหานคร",0,"Lag 0","1.0056","0.9991","1.0122"
"กาญจนบุรี",0,"Lag 0","0.9982","0.9797","1.017"
"กำแพงเพชร",0,"Lag 0","1.007","0.9784","1.0364"
"ขอนแก่น",0,"Lag 0","1.0109","1.0021","1.0197"
"จันทบุรี",0,"Lag 0","1.0303","0.9756","1.088"
"ฉะเชิงเทรา",0,"Lag 0","1.0226","1.0017","1.044"
"ชลบุรี",0,"Lag 0","1.0057","0.9919","1.0197"
"ตรัง",0,"Lag 0","1.035","0.9666","1.1082"
"ตราด",0,"Lag 0","1.0118","0.9455","1.0827"
"ตาก",0,"Lag 0","1.0142","0.9944","1.0344"
"นครปฐม",0,"Lag 0","1.0045","0.9867","1.0227"
"นครพนม",0,"Lag 0","0.9947","0.977","1.0127"
"นครราชสีมา",0,"Lag 0","1.0143","1.0049","1.0237"
"นครศรีธรรมราช",0,"Lag 0","1.0425","1.001","1.0858"
"นครสวรรค์",0,"Lag 0","1.0129","0.998","1.028"
"นราธิวาส",0,"Lag 0","0.9949","0.9507","1.0412"
"น่าน",0,"Lag 0","1.0013","0.9926","1.0101"
"บุรีรัมย์",0,"Lag 0","1.0045","0.9811","1.0285"
"ปทุมธานี",0,"Lag 0","0.9878","0.9699","1.006"
"ประจวบคีรีขันธ์",0,"Lag 0","1.0551","1.0085","1.1038"
"ปราจีนบุรี",0,"Lag 0","0.9994","0.9804","1.0187"
"พระนครศรีอยุธยา",0,"Lag 0","0.9872","0.9693","1.0055"
"พะเยา",0,"Lag 0","0.9989","0.9877","1.0103"
"พิจิตร",0,"Lag 0","1.0293","0.9876","1.0728"
"พิษณุโลก",0,"Lag 0","1.0162","1.0039","1.0287"
"ภูเก็ต",0,"Lag 0","1.0505","0.9944","1.1097"
"มุกดาหาร",0,"Lag 0","0.9786","0.9125","1.0495"
"ยะลา",0,"Lag 0","0.9654","0.9107","1.0232"
"ระยอง",0,"Lag 0","1.0101","0.989","1.0317"
"ราชบุรี",0,"Lag 0","1.0184","1.0039","1.0331"
"ลพบุรี",0,"Lag 0","1.0202","0.9883","1.0532"
"ลำปาง",0,"Lag 0","0.9997","0.9901","1.0094"
"ลำพูน",0,"Lag 0","1.0023","0.9844","1.0205"
"สกลนคร",0,"Lag 0","1.0061","0.9836","1.0291"
"สงขลา",0,"Lag 0","1.0039","0.9768","1.0318"
"สตูล",0,"Lag 0","0.9045","0.8456","0.9675"
"สมุทรปราการ",0,"Lag 0","1.0182","1.0043","1.0322"
"สมุทรสงคราม",0,"Lag 0","0.9929","0.9533","1.0341"
"สระแก้ว",0,"Lag 0","0.9908","0.9652","1.0171"
"สุพรรณบุรี",0,"Lag 0","1.0297","1.0083","1.0515"
"สุราษฎร์ธานี",0,"Lag 0","0.996","0.9679","1.0249"
"สุโขทัย",0,"Lag 0","1.0238","1.0016","1.0465"
"หนองคาย",0,"Lag 0","1.006","0.9919","1.0202"
"อุดรธานี",0,"Lag 0","1.0131","0.9966","1.0299"
"อุตรดิตถ์",0,"Lag 0","1.0285","1.0007","1.057"
"อุทัยธานี",0,"Lag 0","1.0321","0.9861","1.0802"
"อุบลราชธานี",0,"Lag 0","1.0027","0.9949","1.0105"
"เชียงราย",0,"Lag 0","0.9969","0.9923","1.0015"
"เชียงใหม่",0,"Lag 0","0.9965","0.9897","1.0034"
"เพชรบูรณ์",0,"Lag 0","1.0214","0.9917","1.052"
"เลย",0,"Lag 0","0.9915","0.9793","1.0039"
"แพร่",0,"Lag 0","0.9975","0.9847","1.0104"
"แม่ฮ่องสอน",0,"Lag 0","1.0142","0.9984","1.0303"
"กรุงเทพมหานคร",1,"Lag 1","1.0036","1.0004","1.0068"
"กาญจนบุรี",1,"Lag 1","1.0016","0.9926","1.0106"
"กำแพงเพชร",1,"Lag 1","1.0095","0.9939","1.0253"
"ขอนแก่น",1,"Lag 1","1.0056","1.0011","1.01"
"จันทบุรี",1,"Lag 1","1.0064","0.9814","1.032"
"ฉะเชิงเทรา",1,"Lag 1","1.0085","0.9982","1.0189"
"ชลบุรี",1,"Lag 1","1.0052","0.9983","1.0121"
"ตรัง",1,"Lag 1","1.0182","0.9839","1.0537"
"ตราด",1,"Lag 1","0.9941","0.9655","1.0235"
"ตาก",1,"Lag 1","1.0064","0.9966","1.0163"
"นครปฐม",1,"Lag 1","0.9999","0.9911","1.0087"
"นครพนม",1,"Lag 1","0.9954","0.9859","1.0051"
"นครราชสีมา",1,"Lag 1","1.0092","1.0047","1.0138"
"นครศรีธรรมราช",1,"Lag 1","1.0218","1.0014","1.0426"
"นครสวรรค์",1,"Lag 1","1.0071","0.9996","1.0145"
"นราธิวาส",1,"Lag 1","0.9992","0.9768","1.0221"
"น่าน",1,"Lag 1","0.9997","0.9955","1.0039"
"บุรีรัมย์",1,"Lag 1","1.0045","0.9922","1.0169"
"ปทุมธานี",1,"Lag 1","0.9964","0.9875","1.0053"
"ประจวบคีรีขันธ์",1,"Lag 1","1.0259","1.0038","1.0485"
"ปราจีนบุรี",1,"Lag 1","0.9975","0.9884","1.0066"
"พระนครศรีอยุธยา",1,"Lag 1","0.9989","0.9898","1.0081"
"พะเยา",1,"Lag 1","1.0011","0.9956","1.0066"
"พิจิตร",1,"Lag 1","1.0236","1.0023","1.0454"
"พิษณุโลก",1,"Lag 1","1.006","1.0001","1.0119"
"ภูเก็ต",1,"Lag 1","1.0258","0.9981","1.0542"
"มุกดาหาร",1,"Lag 1","0.9881","0.9507","1.0269"
"ยะลา",1,"Lag 1","0.9857","0.9583","1.014"
"ระยอง",1,"Lag 1","1.0026","0.9922","1.0132"
"ราชบุรี",1,"Lag 1","1.0112","1.0045","1.018"
"ลพบุรี",1,"Lag 1","1.0113","0.995","1.0278"
"ลำปาง",1,"Lag 1","0.9997","0.995","1.0045"
"ลำพูน",1,"Lag 1","0.9986","0.9902","1.0071"
"สกลนคร",1,"Lag 1","0.999","0.988","1.0102"
"สงขลา",1,"Lag 1","1.0026","0.989","1.0164"
"สตูล",1,"Lag 1","0.9496","0.9179","0.9823"
"สมุทรปราการ",1,"Lag 1","1.0115","1.0046","1.0185"
"สมุทรสงคราม",1,"Lag 1","1.0031","0.9837","1.0228"
"สระแก้ว",1,"Lag 1","0.9962","0.9843","1.0082"
"สุพรรณบุรี",1,"Lag 1","1.0146","1.004","1.0253"
"สุราษฎร์ธานี",1,"Lag 1","0.9969","0.9825","1.0115"
"สุโขทัย",1,"Lag 1","1.0119","1.0006","1.0234"
"หนองคาย",1,"Lag 1","1.0024","0.9952","1.0096"
"อุดรธานี",1,"Lag 1","1.0067","0.9986","1.0147"
"อุตรดิตถ์",1,"Lag 1","1.0097","0.9971","1.0224"
"อุทัยธานี",1,"Lag 1","1.0181","0.9952","1.0415"
"อุบลราชธานี",1,"Lag 1","0.9999","0.9959","1.0039"
"เชียงราย",1,"Lag 1","0.9985","0.9965","1.0006"
"เชียงใหม่",1,"Lag 1","0.9975","0.9941","1.0009"
"เพชรบูรณ์",1,"Lag 1","1.0094","0.9937","1.0253"
"เลย",1,"Lag 1","0.9943","0.9881","1.0005"
"แพร่",1,"Lag 1","0.9991","0.9927","1.0056"
"แม่ฮ่องสอน",1,"Lag 1","1.0037","0.9967","1.0108"
"กรุงเทพมหานคร",2,"Lag 2","1.0018","0.9993","1.0043"
"กาญจนบุรี",2,"Lag 2","1.0043","0.997","1.0117"
"กำแพงเพชร",2,"Lag 2","1.0106","0.9956","1.0258"
"ขอนแก่น",2,"Lag 2","1.001","0.9976","1.0044"
"จันทบุรี",2,"Lag 2","0.9871","0.9652","1.0096"
"ฉะเชิงเทรา",2,"Lag 2","0.9965","0.9882","1.0048"
"ชลบุรี",2,"Lag 2","1.0044","0.999","1.0099"
"ตรัง",2,"Lag 2","1.0043","0.9764","1.0329"
"ตราด",2,"Lag 2","0.9797","0.9543","1.0057"
"ตาก",2,"Lag 2","0.9995","0.9915","1.0076"
"นครปฐม",2,"Lag 2","0.9963","0.9895","1.0032"
"นครพนม",2,"Lag 2","0.996","0.9881","1.0038"
"นครราชสีมา",2,"Lag 2","1.0047","1.0011","1.0084"
"นครศรีธรรมราช",2,"Lag 2","1.0038","0.9873","1.0207"
"นครสวรรค์",2,"Lag 2","1.0019","0.9958","1.0081"
"นราธิวาส",2,"Lag 2","1.0028","0.9846","1.0213"
"น่าน",2,"Lag 2","0.9983","0.9947","1.0019"
"บุรีรัมย์",2,"Lag 2","1.0044","0.9936","1.0153"
"ปทุมธานี",2,"Lag 2","1.0036","0.9965","1.0107"
"ประจวบคีรีขันธ์",2,"Lag 2","1.0016","0.9833","1.0203"
"ปราจีนบุรี",2,"Lag 2","0.9961","0.9888","1.0034"
"พระนครศรีอยุธยา",2,"Lag 2","1.0086","1.0014","1.0158"
"พะเยา",2,"Lag 2","1.0027","0.9983","1.0073"
"พิจิตร",2,"Lag 2","1.0181","0.9998","1.0366"
"พิษณุโลก",2,"Lag 2","0.9973","0.9922","1.0024"
"ภูเก็ต",2,"Lag 2","1.0045","0.9823","1.0273"
"มุกดาหาร",2,"Lag 2","0.9963","0.9674","1.0262"
"ยะลา",2,"Lag 2","1.0033","0.9814","1.0258"
"ระยอง",2,"Lag 2","0.9963","0.9881","1.0046"
"ราชบุรี",2,"Lag 2","1.0047","0.9993","1.0101"
"ลพบุรี",2,"Lag 2","1.0033","0.9893","1.0175"
"ลำปาง",2,"Lag 2","0.9999","0.996","1.0037"
"ลำพูน",2,"Lag 2","0.9959","0.9892","1.0027"
"สกลนคร",2,"Lag 2","0.9931","0.9843","1.002"
"สงขลา",2,"Lag 2","1.0015","0.9909","1.0121"
"สตูล",2,"Lag 2","0.9895","0.9627","1.0171"
"สมุทรปราการ",2,"Lag 2","1.0057","1.0003","1.011"
"สมุทรสงคราม",2,"Lag 2","1.0115","0.9959","1.0273"
"สระแก้ว",2,"Lag 2","1.001","0.9912","1.011"
"สุพรรณบุรี",2,"Lag 2","1.002","0.9936","1.0106"
"สุราษฎร์ธานี",2,"Lag 2","0.998","0.9863","1.0098"
"สุโขทัย",2,"Lag 2","1.0018","0.9918","1.0118"
"หนองคาย",2,"Lag 2","0.9994","0.9937","1.0051"
"อุดรธานี",2,"Lag 2","1.0011","0.9947","1.0076"
"อุตรดิตถ์",2,"Lag 2","0.9942","0.9835","1.0051"
"อุทัยธานี",2,"Lag 2","1.0062","0.9863","1.0266"
"อุบลราชธานี",2,"Lag 2","0.9976","0.9944","1.0008"
"เชียงราย",2,"Lag 2","0.9999","0.9982","1.0017"
"เชียงใหม่",2,"Lag 2","0.9985","0.9958","1.0013"
"เพชรบูรณ์",2,"Lag 2","0.999","0.9855","1.0126"
"เลย",2,"Lag 2","0.9967","0.9918","1.0017"
"แพร่",2,"Lag 2","1.0007","0.9954","1.0059"
"แม่ฮ่องสอน",2,"Lag 2","0.9951","0.9886","1.0016"
"กรุงเทพมหานคร",3,"Lag 3","1.0004","0.9967","1.0041"
"กาญจนบุรี",3,"Lag 3","1.0059","0.9949","1.0171"
"กำแพงเพชร",3,"Lag 3","1.0088","0.9887","1.0293"
"ขอนแก่น",3,"Lag 3","0.9978","0.993","1.0026"
"จันทบุรี",3,"Lag 3","0.9762","0.9429","1.0108"
"ฉะเชิงเทรา",3,"Lag 3","0.9885","0.9766","1.0005"
"ชลบุรี",3,"Lag 3","1.0032","0.9953","1.0113"
"ตรัง",3,"Lag 3","0.9955","0.956","1.0367"
"ตราด",3,"Lag 3","0.9713","0.9303","1.0142"
"ตาก",3,"Lag 3","0.9945","0.9828","1.0062"
"นครปฐม",3,"Lag 3","0.9948","0.9847","1.005"
"นครพนม",3,"Lag 3","0.996","0.9856","1.0066"
"นครราชสีมา",3,"Lag 3","1.0013","0.9957","1.0068"
"นครศรีธรรมราช",3,"Lag 3","0.9907","0.9669","1.015"
"นครสวรรค์",3,"Lag 3","0.9983","0.9895","1.0072"
"นราธิวาส",3,"Lag 3","1.0051","0.9787","1.0321"
"น่าน",3,"Lag 3","0.9975","0.9921","1.0028"
"บุรีรัมย์",3,"Lag 3","1.0045","0.9895","1.0196"
"ปทุมธานี",3,"Lag 3","1.008","0.9974","1.0186"
"ประจวบคีรีขันธ์",3,"Lag 3","0.986","0.959","1.0137"
"ปราจีนบุรี",3,"Lag 3","0.9955","0.9844","1.0068"
"พระนครศรีอยุธยา",3,"Lag 3","1.0139","1.0034","1.0245"
"พะเยา",3,"Lag 3","1.0033","0.9966","1.0101"
"พิจิตร",3,"Lag 3","1.0128","0.9872","1.0392"
"พิษณุโลก",3,"Lag 3","0.9915","0.984","0.9992"
"ภูเก็ต",3,"Lag 3","0.9894","0.9577","1.0221"
"มุกดาหาร",3,"Lag 3","1.0022","0.9646","1.0411"
"ยะลา",3,"Lag 3","1.0147","0.9815","1.049"
"ระยอง",3,"Lag 3","0.9922","0.9802","1.0043"
"ราชบุรี",3,"Lag 3","0.9996","0.9913","1.008"
"ลพบุรี",3,"Lag 3","0.9973","0.9777","1.0173"
"ลำปาง",3,"Lag 3","1.0002","0.9945","1.0059"
"ลำพูน",3,"Lag 3","0.9951","0.9847","1.0057"
"สกลนคร",3,"Lag 3","0.9893","0.9764","1.0024"
"สงขลา",3,"Lag 3","1.0006","0.9853","1.0161"
"สตูล",3,"Lag 3","1.0161","0.977","1.0568"
"สมุทรปราการ",3,"Lag 3","1.0013","0.9936","1.0091"
"สมุทรสงคราม",3,"Lag 3","1.0163","0.9926","1.0405"
"สระแก้ว",3,"Lag 3","1.0047","0.9891","1.0205"
"สุพรรณบุรี",3,"Lag 3","0.9942","0.982","1.0065"
"สุราษฎร์ธานี",3,"Lag 3","0.9995","0.9829","1.0164"
"สุโขทัย",3,"Lag 3","0.9948","0.9808","1.009"
"หนองคาย",3,"Lag 3","0.9976","0.9895","1.0057"
"อุดรธานี",3,"Lag 3","0.9974","0.9878","1.007"
"อุตรดิตถ์",3,"Lag 3","0.9851","0.9685","1.0019"
"อุทัยธานี",3,"Lag 3","0.9985","0.9701","1.0277"
