"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 3","1.0115","1.0018","1.0212"
"กาญจนบุรี","cumulative_Lag 3","1.01","0.983","1.0378"
"กำแพงเพชร","cumulative_Lag 3","1.0364","0.984","1.0915"
"ขอนแก่น","cumulative_Lag 3","1.0152","1.0014","1.0293"
"จันทบุรี","cumulative_Lag 3","0.9992","0.927","1.0771"
"ฉะเชิงเทรา","cumulative_Lag 3","1.0159","0.9842","1.0486"
"ชลบุรี","cumulative_Lag 3","1.0187","0.9975","1.0403"
"ตรัง","cumulative_Lag 3","1.0536","0.9475","1.1716"
"ตราด","cumulative_Lag 3","0.9571","0.8806","1.0402"
"ตาก","cumulative_Lag 3","1.0146","0.9845","1.0455"
"นครปฐม","cumulative_Lag 3","0.9955","0.9694","1.0223"
"นครพนม","cumulative_Lag 3","0.9822","0.9523","1.0131"
"นครราชสีมา","cumulative_Lag 3","1.0298","1.0159","1.0438"
"นครศรีธรรมราช","cumulative_Lag 3","1.0594","0.9958","1.1271"
"นครสวรรค์","cumulative_Lag 3","1.0203","0.9972","1.0439"
"นราธิวาส","cumulative_Lag 3","1.0019","0.9344","1.0743"
"น่าน","cumulative_Lag 3","0.9968","0.9841","1.0096"
"บุรีรัมย์","cumulative_Lag 3","1.018","0.9787","1.0589"
"ปทุมธานี","cumulative_Lag 3","0.9956","0.9691","1.0229"
"ประจวบคีรีขันธ์","cumulative_Lag 3","1.069","1.0006","1.1422"
"ปราจีนบุรี","cumulative_Lag 3","0.9885","0.9619","1.0158"
"พระนครศรีอยุธยา","cumulative_Lag 3","1.0085","0.9806","1.0372"
"พะเยา","cumulative_Lag 3","1.0062","0.9896","1.023"
"พิจิตร","cumulative_Lag 3","1.0864","1.0166","1.161"
"พิษณุโลก","cumulative_Lag 3","1.0109","0.9927","1.0294"
"ภูเก็ต","cumulative_Lag 3","1.0709","0.984","1.1655"
"มุกดาหาร","cumulative_Lag 3","0.9655","0.8536","1.0921"
"ยะลา","cumulative_Lag 3","0.9687","0.8895","1.055"
"ระยอง","cumulative_Lag 3","1.0011","0.9697","1.0336"
"ราชบุรี","cumulative_Lag 3","1.0343","1.014","1.0549"
"ลพบุรี","cumulative_Lag 3","1.0323","0.9804","1.0869"
"ลำปาง","cumulative_Lag 3","0.9995","0.9852","1.014"
"ลำพูน","cumulative_Lag 3","0.992","0.9676","1.017"
"สกลนคร","cumulative_Lag 3","0.9875","0.9544","1.0219"
"สงขลา","cumulative_Lag 3","1.0086","0.9671","1.052"
"สตูล","cumulative_Lag 3","0.8636","0.7771","0.9596"
"สมุทรปราการ","cumulative_Lag 3","1.0371","1.0156","1.059"
"สมุทรสงคราม","cumulative_Lag 3","1.0238","0.9658","1.0852"
"สระแก้ว","cumulative_Lag 3","0.9927","0.9583","1.0283"
"สุพรรณบุรี","cumulative_Lag 3","1.0408","1.0078","1.0749"
"สุราษฎร์ธานี","cumulative_Lag 3","0.9904","0.9465","1.0363"
"สุโขทัย","cumulative_Lag 3","1.0325","0.9964","1.0698"
"หนองคาย","cumulative_Lag 3","1.0053","0.9831","1.0279"
"อุดรธานี","cumulative_Lag 3","1.0183","0.9937","1.0434"
"อุตรดิตถ์","cumulative_Lag 3","1.017","0.9796","1.0558"
"อุทัยธานี","cumulative_Lag 3","1.0556","0.9829","1.1337"
"อุบลราชธานี","cumulative_Lag 3","0.9964","0.9839","1.009"
"เชียงราย","cumulative_Lag 3","0.9961","0.9901","1.0022"
"เชียงใหม่","cumulative_Lag 3","0.9921","0.9819","1.0023"
"เพชรบูรณ์","cumulative_Lag 3","1.0213","0.9711","1.074"
"เลย","cumulative_Lag 3","0.9813","0.9627","1.0002"
"แพร่","cumulative_Lag 3","0.9993","0.9795","1.0194"
"แม่ฮ่องสอน","cumulative_Lag 3","1.003","0.9823","1.0241"
