"Province","Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","Lag 5","0.9997","0.9972","1.0022"
"กาญจนบุรี","Lag 5","1.0038","0.9966","1.011"
"กำแพงเพชร","Lag 5","0.9928","0.9785","1.0074"
"ขอนแก่น","Lag 5","0.9974","0.994","1.0008"
"จันทบุรี","Lag 5","0.9902","0.9683","1.0127"
"ฉะเชิงเทรา","Lag 5","0.9896","0.9813","0.998"
"ชลบุรี","Lag 5","0.999","0.9936","1.0044"
"ตรัง","Lag 5","1.0005","0.9728","1.029"
"ตราด","Lag 5","0.981","0.9552","1.0076"
"ตาก","Lag 5","0.9922","0.9844","1.0001"
"นครปฐม","Lag 5","1.0008","0.994","1.0077"
"นครพนม","Lag 5","0.9943","0.9868","1.0019"
"นครราชสีมา","Lag 5","0.9987","0.9951","1.0024"
"นครศรีธรรมราช","Lag 5","0.9848","0.9687","1.0011"
"นครสวรรค์","Lag 5","0.9973","0.9912","1.0034"
"นราธิวาส","Lag 5","1.0037","0.9858","1.0219"
"น่าน","Lag 5","0.9981","0.9944","1.0018"
"บุรีรัมย์","Lag 5","1.0049","0.9946","1.0152"
"ปทุมธานี","Lag 5","1.0039","0.9969","1.011"
"ประจวบคีรีขันธ์","Lag 5","0.9908","0.9728","1.0091"
"ปราจีนบุรี","Lag 5","0.9983","0.991","1.0057"
"พระนครศรีอยุธยา","Lag 5","1.0051","0.9982","1.0122"
"พะเยา","Lag 5","0.9999","0.9952","1.0047"
"พิจิตร","Lag 5","1.0038","0.9867","1.0212"
"พิษณุโลก","Lag 5","0.9929","0.9878","0.998"
"ภูเก็ต","Lag 5","0.9847","0.9625","1.0073"
"มุกดาหาร","Lag 5","1.0026","0.9746","1.0314"
"ยะลา","Lag 5","1.0086","0.9867","1.031"
"ระยอง","Lag 5","0.9934","0.9854","1.0016"
"ราชบุรี","Lag 5","0.9953","0.9899","1.0007"
"ลพบุรี","Lag 5","0.9934","0.98","1.007"
"ลำปาง","Lag 5","1.0016","0.9976","1.0056"
"ลำพูน","Lag 5","1.0022","0.995","1.0095"
"สกลนคร","Lag 5","0.9911","0.9821","1.0001"
"สงขลา","Lag 5","1.0001","0.9896","1.0107"
"สตูล","Lag 5","1.0035","0.978","1.0297"
"สมุทรปราการ","Lag 5","0.9993","0.9939","1.0046"
"สมุทรสงคราม","Lag 5","1.0092","0.9941","1.0245"
"สระแก้ว","Lag 5","1.0064","0.9965","1.0165"
"สุพรรณบุรี","Lag 5","0.9989","0.9905","1.0073"
"สุราษฎร์ธานี","Lag 5","1.0048","0.9929","1.0167"
"สุโขทัย","Lag 5","0.9947","0.9846","1.0049"
"หนองคาย","Lag 5","0.9991","0.9934","1.0049"
"อุดรธานี","Lag 5","0.9977","0.9912","1.0042"
"อุตรดิตถ์","Lag 5","0.9935","0.9831","1.004"
"อุทัยธานี","Lag 5","1.0004","0.9816","1.0196"
"อุบลราชธานี","Lag 5","0.9973","0.9941","1.0006"
"เชียงราย","Lag 5","0.9998","0.998","1.0017"
"เชียงใหม่","Lag 5","1.0018","0.9989","1.0046"
"เพชรบูรณ์","Lag 5","0.9904","0.9777","1.0032"
"เลย","Lag 5","0.9996","0.9947","1.0046"
"แพร่","Lag 5","1.0042","0.9989","1.0096"
"แม่ฮ่องสอน","Lag 5","0.9966","0.9903","1.003"
