"Province","Q-AIC"
"กรุงเทพมหานคร",15338.0774865027
"กาญจนบุรี",9439.6834354578
"กำแพงเพชร",1876.58438640416
"ขอนแก่น",11432.9747749315
"จันทบุรี",1890.75747217856
"ฉะเชิงเทรา",6764.17329200792
"ชลบุรี",10881.6510141096
"ตรัง",3408.91685728057
"ตราด",2929.10951496357
"ตาก",8136.01506630986
"นครปฐม",6620.66889955195
"นครพนม",3724.16982476077
"นครราชสีมา",9176.31755838905
"นครศรีธรรมราช",4736.34346853881
"นครสวรรค์",8364.21630518125
"นนทบุรี",NA
"นราธิวาส",7382.70258957201
"น่าน",9795.22846458232
"บุรีรัมย์",2372.74662166003
"ปทุมธานี",7239.76152914505
"ประจวบคีรีขันธ์",1741.34052403682
"ปราจีนบุรี",9352.19746423586
"พระนครศรีอยุธยา",7357.313471761
"พะเยา",6581.75904750262
"พิจิตร",1892.30446203964
"พิษณุโลก",4506.83618498802
"ภูเก็ต",5216.28677854496
"มุกดาหาร",1523.38647382646
"ยะลา",7155.53483581683
"ระยอง",9408.2842318193
"ราชบุรี",9592.517604786
"ลพบุรี",1980.98219720108
"ลำปาง",8320.3805660003
"ลำพูน",6711.29393849925
"สกลนคร",3919.01569219286
"สงขลา",9477.00859168878
"สตูล",5123.65267469761
"สมุทรปราการ",10699.2241180673
"สมุทรสงคราม",3303.94418205389
"สมุทรสาคร",NA
"สระบุรี",NA
"สระแก้ว",6625.2503792122
"สุพรรณบุรี",4277.37826261616
"สุราษฎร์ธานี",7997.3076804496
"สุโขทัย",1831.7378251913
"หนองคาย",5110.52526874284
"อุดรธานี",4272.67964702737
"อุตรดิตถ์",3312.71288563606
"อุทัยธานี",1684.51500924694
"อุบลราชธานี",6718.45487601558
"เชียงราย",9522.37013379998
"เชียงใหม่",12643.2172658018
"เพชรบูรณ์",2196.99730749884
"เลย",7551.3119628727
"แพร่",6978.6104804478
"แม่ฮ่องสอน",4659.23238466369
