"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 7","1.0484","0.9976","1.1017"
"กาญจนบุรี","cumulative_Lag 7","0.9874","0.8941","1.0904"
"กำแพงเพชร","cumulative_Lag 7","0.9438","0.7695","1.1576"
"ขอนแก่น","cumulative_Lag 7","1.0251","0.9671","1.0865"
"จันทบุรี","cumulative_Lag 7","0.943","0.7395","1.2025"
"ฉะเชิงเทรา","cumulative_Lag 7","0.9279","0.8241","1.0447"
"ชลบุรี","cumulative_Lag 7","0.9257","0.8463","1.0125"
"ตรัง","cumulative_Lag 7","1.5048","1.0195","2.2212"
"ตราด","cumulative_Lag 7","0.7304","0.578","0.9231"
"ตาก","cumulative_Lag 7","0.9472","0.8674","1.0343"
"นครปฐม","cumulative_Lag 7","1.0111","0.9198","1.1115"
"นครพนม","cumulative_Lag 7","1.0114","0.9177","1.1146"
"นครราชสีมา","cumulative_Lag 7","0.9808","0.9297","1.0346"
"นครศรีธรรมราช","cumulative_Lag 7","0.9565","0.77","1.1882"
"นครสวรรค์","cumulative_Lag 7","1.0062","0.9256","1.0938"
"นราธิวาส","cumulative_Lag 7","0.9609","0.783","1.1792"
"น่าน","cumulative_Lag 7","0.9608","0.9069","1.0178"
"บุรีรัมย์","cumulative_Lag 7","1.1007","0.9324","1.2995"
"ปทุมธานี","cumulative_Lag 7","0.9504","0.8529","1.0591"
"ประจวบคีรีขันธ์","cumulative_Lag 7","0.9405","0.7398","1.1957"
"ปราจีนบุรี","cumulative_Lag 7","0.9239","0.8377","1.0189"
"พระนครศรีอยุธยา","cumulative_Lag 7","0.9527","0.8672","1.0465"
"พะเยา","cumulative_Lag 7","0.9925","0.9244","1.0657"
"พิจิตร","cumulative_Lag 7","1.095","0.8893","1.3483"
"พิษณุโลก","cumulative_Lag 7","0.9756","0.8972","1.0607"
"ภูเก็ต","cumulative_Lag 7","1.0249","0.7279","1.4429"
"มุกดาหาร","cumulative_Lag 7","0.9977","0.6641","1.4988"
"ยะลา","cumulative_Lag 7","1.0141","0.8007","1.2845"
"ระยอง","cumulative_Lag 7","0.9941","0.8861","1.1153"
"ราชบุรี","cumulative_Lag 7","0.9974","0.9181","1.0835"
"ลพบุรี","cumulative_Lag 7","1.0778","0.8974","1.2945"
"ลำปาง","cumulative_Lag 7","0.9846","0.9214","1.0521"
"ลำพูน","cumulative_Lag 7","0.999","0.9247","1.0793"
"สกลนคร","cumulative_Lag 7","0.9856","0.8487","1.1445"
"สงขลา","cumulative_Lag 7","0.9077","0.7559","1.0901"
"สตูล","cumulative_Lag 7","0.6226","0.4789","0.8094"
"สมุทรปราการ","cumulative_Lag 7","1.0398","0.9553","1.1318"
"สมุทรสงคราม","cumulative_Lag 7","1.2575","1.0803","1.4639"
"สระแก้ว","cumulative_Lag 7","1.179","1.0383","1.3387"
"สุพรรณบุรี","cumulative_Lag 7","0.9612","0.8564","1.0789"
"สุราษฎร์ธานี","cumulative_Lag 7","1.02","0.8464","1.2291"
"สุโขทัย","cumulative_Lag 7","0.9823","0.8939","1.0794"
"หนองคาย","cumulative_Lag 7","0.9602","0.8944","1.0309"
"อุดรธานี","cumulative_Lag 7","0.908","0.8112","1.0163"
"อุตรดิตถ์","cumulative_Lag 7","0.89","0.772","1.0262"
"อุทัยธานี","cumulative_Lag 7","0.9603","0.7739","1.1915"
"อุบลราชธานี","cumulative_Lag 7","1.0395","0.9821","1.1002"
"เชียงราย","cumulative_Lag 7","0.9875","0.96","1.0159"
"เชียงใหม่","cumulative_Lag 7","0.9914","0.9507","1.0339"
"เพชรบูรณ์","cumulative_Lag 7","1.0971","0.9339","1.2889"
"เลย","cumulative_Lag 7","0.9978","0.9316","1.0687"
"แพร่","cumulative_Lag 7","1.051","0.9709","1.1378"
"แม่ฮ่องสอน","cumulative_Lag 7","0.926","0.8766","0.9781"
