"Province","Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","Lag 2","1.0016","0.9924","1.0108"
"กาญจนบุรี","Lag 2","0.9938","0.9748","1.0132"
"กำแพงเพชร","Lag 2","1.0124","0.9734","1.0529"
"ขอนแก่น","Lag 2","1.007","0.9964","1.0177"
"จันทบุรี","Lag 2","0.9857","0.9161","1.0606"
"ฉะเชิงเทรา","Lag 2","1.0131","0.9909","1.0357"
"ชลบุรี","Lag 2","0.9968","0.9799","1.014"
"ตรัง","Lag 2","0.9906","0.9137","1.0739"
"ตราด","Lag 2","1.0802","1.0136","1.1511"
"ตาก","Lag 2","0.9827","0.9643","1.0014"
"นครปฐม","Lag 2","1.0072","0.9884","1.0263"
"นครพนม","Lag 2","1.0177","0.9998","1.0359"
"นครราชสีมา","Lag 2","1.0055","0.9943","1.0169"
"นครศรีธรรมราช","Lag 2","1.0435","0.9955","1.0939"
"นครสวรรค์","Lag 2","1.0039","0.9869","1.0212"
"นราธิวาส","Lag 2","1.0077","0.9641","1.0533"
"น่าน","Lag 2","0.9881","0.9756","1.0008"
"บุรีรัมย์","Lag 2","1.0388","0.9995","1.0797"
"ปทุมธานี","Lag 2","1.0096","0.9864","1.0334"
"ประจวบคีรีขันธ์","Lag 2","1.0337","0.9729","1.0984"
"ปราจีนบุรี","Lag 2","0.9923","0.9721","1.0129"
"พระนครศรีอยุธยา","Lag 2","1.0188","1.0001","1.038"
"พะเยา","Lag 2","1.0143","1","1.0287"
"พิจิตร","Lag 2","1.0021","0.9564","1.05"
"พิษณุโลก","Lag 2","0.9965","0.9781","1.0151"
"ภูเก็ต","Lag 2","1.0592","0.9863","1.1376"
"มุกดาหาร","Lag 2","0.9746","0.905","1.0496"
"ยะลา","Lag 2","1.0309","0.9831","1.0812"
"ระยอง","Lag 2","0.9829","0.9616","1.0046"
"ราชบุรี","Lag 2","1.0133","0.9951","1.0317"
"ลพบุรี","Lag 2","1.0308","0.9941","1.0689"
"ลำปาง","Lag 2","1.0044","0.9911","1.0179"
"ลำพูน","Lag 2","0.9909","0.9748","1.0072"
"สกลนคร","Lag 2","1.003","0.9767","1.0301"
"สงขลา","Lag 2","1.0001","0.9689","1.0323"
"สตูล","Lag 2","0.9755","0.9255","1.0283"
"สมุทรปราการ","Lag 2","1.0058","0.9906","1.0213"
"สมุทรสงคราม","Lag 2","1.0353","1.0057","1.0657"
"สระแก้ว","Lag 2","1.0282","0.9979","1.0593"
"สุพรรณบุรี","Lag 2","0.9989","0.9752","1.0231"
"สุราษฎร์ธานี","Lag 2","0.9901","0.9558","1.0256"
"สุโขทัย","Lag 2","0.9836","0.9602","1.0076"
"หนองคาย","Lag 2","1.006","0.9918","1.0203"
"อุดรธานี","Lag 2","0.9728","0.9514","0.9947"
"อุตรดิตถ์","Lag 2","0.9973","0.968","1.0275"
"อุทัยธานี","Lag 2","1.0122","0.962","1.065"
"อุบลราชธานี","Lag 2","1.0096","0.9994","1.0199"
"เชียงราย","Lag 2","0.9999","0.9931","1.0068"
"เชียงใหม่","Lag 2","1.0054","0.996","1.0148"
"เพชรบูรณ์","Lag 2","0.9982","0.9644","1.0331"
"เลย","Lag 2","1.0074","0.9951","1.0198"
"แพร่","Lag 2","1.0093","0.9939","1.0251"
"แม่ฮ่องสอน","Lag 2","1.0108","0.9969","1.0249"
