"Province","Q-AIC"
"กรุงเทพมหานคร",7931.88046224187
"กาญจนบุรี",4011.21225532275
"กำแพงเพชร",837.774434825063
"ขอนแก่น",6107.08948332493
"จันทบุรี",686.466154312449
"ฉะเชิงเทรา",2968.00768530038
"ชลบุรี",5007.89414183791
"ตรัง",1223.02387397495
"ตราด",920.512286087526
"ตาก",2948.38673071361
"นครปฐม",2687.04285069102
"นครพนม",1535.1817977554
"นครราชสีมา",5241.95127338638
"นครศรีธรรมราช",2272.22860237567
"นครสวรรค์",3949.42648388082
"นนทบุรี",NA
"นราธิวาส",2779.37411205435
"น่าน",3661.69598849393
"บุรีรัมย์",1243.41642772031
"ปทุมธานี",2189.82766452338
"ประจวบคีรีขันธ์",593.961983043913
"ปราจีนบุรี",3462.54297744055
"พระนครศรีอยุธยา",3269.48214339532
"พะเยา",2136.33161324849
"พิจิตร",848.865161048533
"พิษณุโลก",1824.9185190142
"ภูเก็ต",962.17968670169
"มุกดาหาร",306.041008233626
"ยะลา",1863.1327727794
"ระยอง",3608.83017563651
"ราชบุรี",3225.16052097965
"ลพบุรี",840.17908329229
"ลำปาง",3228.26975672887
"ลำพูน",2294.84775180292
"สกลนคร",1723.91645411727
"สงขลา",3947.08752117724
"สตูล",1369.92607756963
"สมุทรปราการ",4256.76533736013
"สมุทรสงคราม",767.871098545366
"สมุทรสาคร",NA
"สระบุรี",NA
"สระแก้ว",2065.15980509086
"สุพรรณบุรี",1967.83207221096
"สุราษฎร์ธานี",3601.14639292656
"สุโขทัย",839.13366274379
"หนองคาย",1996.07898773907
"อุดรธานี",2035.5015360243
"อุตรดิตถ์",1161.28439774848
"อุทัยธานี",602.393635939179
"อุบลราชธานี",3527.40603340479
"เชียงราย",4035.91607669151
"เชียงใหม่",6035.15262165495
"เพชรบูรณ์",1156.37379351198
"เลย",3676.25160594884
"แพร่",2313.30398957609
"แม่ฮ่องสอน",921.542646919924
