"Province","Lag_Numeric","Lag_Description","RR","Lower","Upper"
"กรุงเทพมหานคร",0,"Lag 0","1.0089","1.0027","1.0152"
"กาญจนบุรี",0,"Lag 0","1.0004","0.9864","1.0146"
"กำแพงเพชร",0,"Lag 0","0.9911","0.9651","1.0178"
"ขอนแก่น",0,"Lag 0","1.0168","1.0076","1.026"
"จันทบุรี",0,"Lag 0","0.9941","0.9402","1.0511"
"ฉะเชิงเทรา",0,"Lag 0","1.0255","1.0079","1.0434"
"ชลบุรี",0,"Lag 0","1.0105","0.9972","1.024"
"ตรัง",0,"Lag 0","1.002","0.9375","1.0709"
"ตราด",0,"Lag 0","1.0272","0.9635","1.095"
"ตาก",0,"Lag 0","0.9983","0.9815","1.0153"
"นครปฐม",0,"Lag 0","1.0079","0.9927","1.0233"
"นครพนม",0,"Lag 0","1.0101","0.9949","1.0256"
"นครราชสีมา",0,"Lag 0","1.0216","1.0116","1.0317"
"นครศรีธรรมราช",0,"Lag 0","1.0422","1.0115","1.0738"
"นครสวรรค์",0,"Lag 0","1.0266","1.0129","1.0406"
"นราธิวาส",0,"Lag 0","0.9858","0.9607","1.0115"
"น่าน",0,"Lag 0","1.0046","0.994","1.0154"
"บุรีรัมย์",0,"Lag 0","1.0103","0.9848","1.0365"
"ปทุมธานี",0,"Lag 0","0.997","0.9826","1.0117"
"ประจวบคีรีขันธ์",0,"Lag 0","1.0304","0.9926","1.0696"
"ปราจีนบุรี",0,"Lag 0","1.0189","1.0001","1.0381"
"พระนครศรีอยุธยา",0,"Lag 0","1.0081","0.993","1.0235"
"พะเยา",0,"Lag 0","0.9928","0.9822","1.0037"
"พิจิตร",0,"Lag 0","1.0071","0.9728","1.0426"
"พิษณุโลก",0,"Lag 0","1.0166","1.0043","1.029"
"ภูเก็ต",0,"Lag 0","1.0131","0.9616","1.0674"
"มุกดาหาร",0,"Lag 0","1.0042","0.9372","1.0761"
"ยะลา",0,"Lag 0","1.0089","0.9786","1.0401"
"ระยอง",0,"Lag 0","1.0251","1.0065","1.044"
"ราชบุรี",0,"Lag 0","1.0154","1.0044","1.0264"
"ลพบุรี",0,"Lag 0","1.0539","1.0251","1.0836"
"ลำปาง",0,"Lag 0","0.9987","0.9889","1.0087"
"ลำพูน",0,"Lag 0","0.9936","0.9801","1.0072"
"สกลนคร",0,"Lag 0","0.9957","0.9719","1.0201"
"สงขลา",0,"Lag 0","1.0128","0.9925","1.0334"
"สตูล",0,"Lag 0","0.9972","0.9565","1.0396"
"สมุทรปราการ",0,"Lag 0","1.0026","0.9907","1.0146"
"สมุทรสงคราม",0,"Lag 0","1.0055","0.9751","1.0367"
"สระแก้ว",0,"Lag 0","0.9973","0.9744","1.0207"
"สุพรรณบุรี",0,"Lag 0","1.0109","0.9925","1.0296"
"สุราษฎร์ธานี",0,"Lag 0","1.0092","0.9852","1.0337"
"สุโขทัย",0,"Lag 0","1.0158","0.9964","1.0356"
"หนองคาย",0,"Lag 0","1.0131","1.0005","1.0259"
"อุดรธานี",0,"Lag 0","1.0154","0.998","1.0331"
"อุตรดิตถ์",0,"Lag 0","1.0074","0.9772","1.0386"
"อุทัยธานี",0,"Lag 0","0.9884","0.9512","1.0271"
"อุบลราชธานี",0,"Lag 0","1.0122","1.0042","1.0202"
"เชียงราย",0,"Lag 0","0.9979","0.9926","1.0033"
"เชียงใหม่",0,"Lag 0","1.0052","0.9987","1.0117"
"เพชรบูรณ์",0,"Lag 0","1.016","0.9851","1.0479"
"เลย",0,"Lag 0","1.0068","0.9948","1.019"
"แพร่",0,"Lag 0","1.0038","0.9908","1.017"
"แม่ฮ่องสอน",0,"Lag 0","0.9977","0.9828","1.0129"
"กรุงเทพมหานคร",1,"Lag 1","1.0067","1.0037","1.0098"
"กาญจนบุรี",1,"Lag 1","1.0017","0.9949","1.0084"
"กำแพงเพชร",1,"Lag 1","0.9976","0.9837","1.0118"
"ขอนแก่น",1,"Lag 1","1.009","1.0043","1.0137"
"จันทบุรี",1,"Lag 1","1.0034","0.9778","1.0298"
"ฉะเชิงเทรา",1,"Lag 1","1.0143","1.0055","1.0232"
"ชลบุรี",1,"Lag 1","1.0096","1.003","1.0163"
"ตรัง",1,"Lag 1","1.0025","0.9692","1.0369"
"ตราด",1,"Lag 1","1.0218","0.9941","1.0503"
"ตาก",1,"Lag 1","0.997","0.9887","1.0054"
"นครปฐม",1,"Lag 1","1.0102","1.0027","1.0177"
"นครพนม",1,"Lag 1","1.0033","0.9951","1.0115"
"นครราชสีมา",1,"Lag 1","1.0139","1.0091","1.0187"
"นครศรีธรรมราช",1,"Lag 1","1.0183","1.0033","1.0335"
"นครสวรรค์",1,"Lag 1","1.0158","1.009","1.0227"
"นราธิวาส",1,"Lag 1","0.995","0.9823","1.0079"
"น่าน",1,"Lag 1","1.0029","0.9977","1.0081"
"บุรีรัมย์",1,"Lag 1","1.0109","0.9976","1.0243"
"ปทุมธานี",1,"Lag 1","1.0027","0.9955","1.0099"
"ประจวบคีรีขันธ์",1,"Lag 1","1.0172","0.9991","1.0357"
"ปราจีนบุรี",1,"Lag 1","1.0102","1.0013","1.0192"
"พระนครศรีอยุธยา",1,"Lag 1","1.0057","0.9981","1.0133"
"พะเยา",1,"Lag 1","0.995","0.9897","1.0002"
"พิจิตร",1,"Lag 1","1.0056","0.9878","1.0236"
"พิษณุโลก",1,"Lag 1","1.0108","1.0048","1.0168"
"ภูเก็ต",1,"Lag 1","1.0009","0.9748","1.0276"
"มุกดาหาร",1,"Lag 1","0.9874","0.9499","1.0263"
"ยะลา",1,"Lag 1","1.0056","0.9906","1.0208"
"ระยอง",1,"Lag 1","1.0103","1.0012","1.0194"
"ราชบุรี",1,"Lag 1","1.0087","1.0037","1.0138"
"ลพบุรี",1,"Lag 1","1.0265","1.0122","1.0409"
"ลำปาง",1,"Lag 1","1.0002","0.9953","1.005"
"ลำพูน",1,"Lag 1","0.9981","0.9916","1.0047"
"สกลนคร",1,"Lag 1","0.9985","0.9867","1.0105"
"สงขลา",1,"Lag 1","1.008","0.9978","1.0182"
"สตูล",1,"Lag 1","1.0003","0.9795","1.0216"
"สมุทรปราการ",1,"Lag 1","1.0035","0.9976","1.0095"
"สมุทรสงคราม",1,"Lag 1","1.0132","0.9985","1.0281"
"สระแก้ว",1,"Lag 1","1.003","0.9924","1.0138"
"สุพรรณบุรี",1,"Lag 1","1.0051","0.9958","1.0144"
"สุราษฎร์ธานี",1,"Lag 1","1.0085","0.9962","1.0209"
"สุโขทัย",1,"Lag 1","1.0052","0.9953","1.0153"
"หนองคาย",1,"Lag 1","1.0049","0.9985","1.0114"
"อุดรธานี",1,"Lag 1","1.0102","1.0016","1.0188"
"อุตรดิตถ์",1,"Lag 1","1.0052","0.9912","1.0194"
"อุทัยธานี",1,"Lag 1","0.9973","0.9783","1.0167"
"อุบลราชธานี",1,"Lag 1","1.0046","1.0006","1.0087"
