"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 2","1.0205","1.0109","1.0302"
"กาญจนบุรี","cumulative_Lag 2","1.0047","0.9838","1.026"
"กำแพงเพชร","cumulative_Lag 2","0.9922","0.9503","1.0361"
"ขอนแก่น","cumulative_Lag 2","1.028","1.0133","1.0429"
"จันทบุรี","cumulative_Lag 2","1.0087","0.9305","1.0934"
"ฉะเชิงเทรา","cumulative_Lag 2","1.045","1.0172","1.0736"
"ชลบุรี","cumulative_Lag 2","1.0291","1.0083","1.0503"
"ตรัง","cumulative_Lag 2","1.0063","0.9065","1.117"
"ตราด","cumulative_Lag 2","1.0663","0.9779","1.1626"
"ตาก","cumulative_Lag 2","0.9914","0.966","1.0175"
"นครปฐม","cumulative_Lag 2","1.0301","1.0065","1.0541"
"นครพนม","cumulative_Lag 2","1.011","0.9858","1.0369"
"นครราชสีมา","cumulative_Lag 2","1.0431","1.0278","1.0586"
"นครศรีธรรมราช","cumulative_Lag 2","1.0595","1.0119","1.1093"
"นครสวรรค์","cumulative_Lag 2","1.0496","1.0279","1.0717"
"นราธิวาส","cumulative_Lag 2","0.9838","0.9453","1.0238"
"น่าน","cumulative_Lag 2","1.0087","0.9926","1.025"
"บุรีรัมย์","cumulative_Lag 2","1.0328","0.9916","1.0756"
"ปทุมธานี","cumulative_Lag 2","1.007","0.9848","1.0297"
"ประจวบคีรีขันธ์","cumulative_Lag 2","1.0545","0.9973","1.115"
"ปราจีนบุรี","cumulative_Lag 2","1.0322","1.0041","1.061"
"พระนครศรีอยุธยา","cumulative_Lag 2","1.0173","0.9938","1.0413"
"พะเยา","cumulative_Lag 2","0.9848","0.9688","1.0011"
"พิจิตร","cumulative_Lag 2","1.0171","0.9627","1.0745"
"พิษณุโลก","cumulative_Lag 2","1.0334","1.0146","1.0526"
"ภูเก็ต","cumulative_Lag 2","1.0052","0.9262","1.0908"
"มุกดาหาร","cumulative_Lag 2","0.966","0.858","1.0877"
"ยะลา","cumulative_Lag 2","1.0168","0.9704","1.0653"
"ระยอง","cumulative_Lag 2","1.0336","1.0051","1.0629"
"ราชบุรี","cumulative_Lag 2","1.0272","1.0111","1.0436"
"ลพบุรี","cumulative_Lag 2","1.0855","1.0395","1.1335"
"ลำปาง","cumulative_Lag 2","1.0003","0.9853","1.0155"
"ลำพูน","cumulative_Lag 2","0.9937","0.9735","1.0142"
"สกลนคร","cumulative_Lag 2","0.9952","0.959","1.0328"
"สงขลา","cumulative_Lag 2","1.0247","0.993","1.0574"
"สตูล","cumulative_Lag 2","1.0004","0.9372","1.0678"
"สมุทรปราการ","cumulative_Lag 2","1.0104","0.9919","1.0292"
"สมุทรสงคราม","cumulative_Lag 2","1.0384","0.9922","1.0868"
"สระแก้ว","cumulative_Lag 2","1.0081","0.9749","1.0424"
"สุพรรณบุรี","cumulative_Lag 2","1.0163","0.9875","1.0459"
"สุราษฎร์ธานี","cumulative_Lag 2","1.0256","0.9875","1.0652"
"สุโขทัย","cumulative_Lag 2","1.0175","0.9869","1.0491"
"หนองคาย","cumulative_Lag 2","1.0162","0.9961","1.0366"
"อุดรธานี","cumulative_Lag 2","1.0313","1.0044","1.059"
"อุตรดิตถ์","cumulative_Lag 2","1.0159","0.9724","1.0614"
"อุทัยธานี","cumulative_Lag 2","0.9907","0.9334","1.0514"
"อุบลราชธานี","cumulative_Lag 2","1.015","1.0025","1.0278"
"เชียงราย","cumulative_Lag 2","0.9942","0.9865","1.002"
"เชียงใหม่","cumulative_Lag 2","1.0075","0.9974","1.0176"
"เพชรบูรณ์","cumulative_Lag 2","1.0241","0.9737","1.0772"
"เลย","cumulative_Lag 2","1.0032","0.9848","1.0218"
"แพร่","cumulative_Lag 2","1.0031","0.9832","1.0235"
"แม่ฮ่องสอน","cumulative_Lag 2","1.0014","0.9805","1.0226"
