"Province","Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","Lag 2","1.0047","1.0023","1.0071"
"กาญจนบุรี","Lag 2","1.0026","0.9971","1.0082"
"กำแพงเพชร","Lag 2","1.0036","0.9905","1.0168"
"ขอนแก่น","Lag 2","1.0021","0.9985","1.0057"
"จันทบุรี","Lag 2","1.0112","0.9886","1.0342"
"ฉะเชิงเทรา","Lag 2","1.0046","0.9975","1.0119"
"ชลบุรี","Lag 2","1.0086","1.0034","1.0138"
"ตรัง","Lag 2","1.0018","0.9747","1.0297"
"ตราด","Lag 2","1.0159","0.991","1.0415"
"ตาก","Lag 2","0.9961","0.9892","1.003"
"นครปฐม","Lag 2","1.0117","1.0058","1.0177"
"นครพนม","Lag 2","0.9976","0.991","1.0043"
"นครราชสีมา","Lag 2","1.0071","1.0031","1.011"
"นครศรีธรรมราช","Lag 2","0.9984","0.9863","1.0107"
"นครสวรรค์","Lag 2","1.0064","1.0008","1.012"
"นราธิวาส","Lag 2","1.003","0.9926","1.0136"
"น่าน","Lag 2","1.0011","0.9966","1.0056"
"บุรีรัมย์","Lag 2","1.0112","0.9995","1.0231"
"ปทุมธานี","Lag 2","1.0073","1.0016","1.013"
"ประจวบคีรีขันธ์","Lag 2","1.0061","0.9906","1.0218"
"ปราจีนบุรี","Lag 2","1.0028","0.9956","1.01"
"พระนครศรีอยุธยา","Lag 2","1.0034","0.9975","1.0093"
"พะเยา","Lag 2","0.9969","0.9925","1.0014"
"พิจิตร","Lag 2","1.0044","0.9891","1.0198"
"พิษณุโลก","Lag 2","1.0057","1.0005","1.0108"
"ภูเก็ต","Lag 2","0.9913","0.9704","1.0126"
"มุกดาหาร","Lag 2","0.9742","0.9443","1.0051"
"ยะลา","Lag 2","1.0022","0.9904","1.0141"
"ระยอง","Lag 2","0.9981","0.9911","1.0051"
"ราชบุรี","Lag 2","1.0029","0.9989","1.007"
"ลพบุรี","Lag 2","1.0034","0.9915","1.0155"
"ลำปาง","Lag 2","1.0014","0.9974","1.0053"
"ลำพูน","Lag 2","1.002","0.9965","1.0074"
"สกลนคร","Lag 2","1.001","0.9914","1.0107"
"สงขลา","Lag 2","1.0038","0.996","1.0117"
"สตูล","Lag 2","1.0029","0.9861","1.0199"
"สมุทรปราการ","Lag 2","1.0042","0.9995","1.0089"
"สมุทรสงคราม","Lag 2","1.0193","1.0073","1.0315"
"สระแก้ว","Lag 2","1.0078","0.9992","1.0165"
"สุพรรณบุรี","Lag 2","1.0003","0.9927","1.008"
"สุราษฎร์ธานี","Lag 2","1.0077","0.9979","1.0177"
"สุโขทัย","Lag 2","0.9964","0.9875","1.0055"
"หนองคาย","Lag 2","0.998","0.993","1.0032"
"อุดรธานี","Lag 2","1.0055","0.9986","1.0124"
"อุตรดิตถ์","Lag 2","1.0033","0.9914","1.0153"
"อุทัยธานี","Lag 2","1.005","0.9881","1.0222"
"อุบลราชธานี","Lag 2","0.9982","0.995","1.0015"
"เชียงราย","Lag 2","0.9982","0.9962","1.0003"
"เชียงใหม่","Lag 2","0.9999","0.9973","1.0026"
"เพชรบูรณ์","Lag 2","1.0004","0.986","1.0151"
"เลย","Lag 2","0.9957","0.9908","1.0006"
"แพร่","Lag 2","0.9985","0.9933","1.0037"
"แม่ฮ่องสอน","Lag 2","1.0031","0.997","1.0092"
