"Province","Q-AIC"
"กรุงเทพมหานคร",15408.6526696464
"กาญจนบุรี",10750.735357095
"กำแพงเพชร",2031.39158798479
"ขอนแก่น",11545.1732342666
"จันทบุรี",1968.11194227162
"ฉะเชิงเทรา",7103.08082999359
"ชลบุรี",11075.0641325188
"ตรัง",3462.56936885344
"ตราด",3072.63670056706
"ตาก",8883.15678845601
"นครปฐม",7139.67311008406
"นครพนม",4082.33722678881
"นครราชสีมา",9224.20062698897
"นครศรีธรรมราช",5379.71638479164
"นครสวรรค์",8678.44192415128
"นนทบุรี",NA
"นราธิวาส",10281.3294551381
"น่าน",8674.45592316568
"บุรีรัมย์",2333.94281714911
"ปทุมธานี",7949.79210770118
"ประจวบคีรีขันธ์",1934.75201592208
"ปราจีนบุรี",9428.38768019952
"พระนครศรีอยุธยา",8326.70314457623
"พะเยา",6864.92677602705
"พิจิตร",2030.39258068665
"พิษณุโลก",4537.98331652293
"ภูเก็ต",5655.34872905989
"มุกดาหาร",1396.3875580981
"ยะลา",10261.600246632
"ระยอง",10215.523047575
"ราชบุรี",11024.1469861315
"ลพบุรี",2235.3961802363
"ลำปาง",8404.80171349952
"ลำพูน",7674.08552354452
"สกลนคร",3849.54497968186
"สงขลา",10939.9763135059
"สตูล",7889.31114564695
"สมุทรปราการ",11531.9100594853
"สมุทรสงคราม",4132.39248049364
"สมุทรสาคร",NA
"สระบุรี",NA
"สระแก้ว",6976.6884905089
"สุพรรณบุรี",4722.67293305651
"สุราษฎร์ธานี",8701.90992116654
"สุโขทัย",2006.41302671864
"หนองคาย",5306.87264227431
"อุดรธานี",4321.38689994893
"อุตรดิตถ์",3241.45439731695
"อุทัยธานี",1811.87740653298
"อุบลราชธานี",7155.5593585349
"เชียงราย",9464.37896448933
"เชียงใหม่",13219.3257994964
"เพชรบูรณ์",2202.66314973216
"เลย",7536.55353760687
"แพร่",6887.94154074602
"แม่ฮ่องสอน",5151.74508384457
