"Province","Q-AIC"
"Bangkok",13523.9924465475
"Kanchanaburi",9557.91774033679
"Kamphaeng Phet",1807.19006339344
"Khon Kaen",10349.5851714063
"Chanthaburi",1751.00896981144
"Chachoengsao",6273.45085548214
"Chon Buri",9968.3233257605
"Trang",2999.01091267434
"Trat",2485.74681627629
"Tak",7417.91785498737
"Nakhon Pathom",6108.9214257071
"Nakhon Phanom",3615.67889674036
"Nakhon Ratchasima",8162.62537958329
"Nakhon Si Thammarat",4630.1779515339
"Nakhon Sawan",7669.48484295354
"Nonthaburi",NA
"Narathiwat",8815.29046699593
"Nan",7398.39472552918
"Buri Ram",2064.61095008991
"Pathum Thani",6569.54146171507
"Prachuap Khiri Khan",1606.41723928229
"Prachin Buri",8301.29386539526
"Phra Nakhon Si Ayutthaya",7255.89100664816
"Phayao",5724.96291502797
"Phichit",1787.98356962217
"Phitsanulok",4012.56417725464
"Phuket",4549.42900381216
"Mukdahan",999.547083852331
"Yala",8816.34752573942
"Rayong",8462.69919612625
"Ratchaburi",9889.25237728608
"Lop Buri",1973.27684313113
"Lampang",7116.0151886028
"Lamphun",6675.07376629937
"Sakon Nakhon",3233.4935060476
"Songkhla",9388.68621760498
"Satun",6336.38304645711
"Samut Prakan",9492.30343215623
"Samut Songkhram",3438.04588590486
"Samut Sakhon",NA
"Saraburi",NA
"Sa Kaeo",6228.90708969266
"Suphan Buri",4181.06949895259
"Surat Thani",7678.46635804349
"Sukhothai",1756.1547471683
"Nong Khai",4735.95912526525
"Udon Thani",3838.26490884425
"Uttaradit",2737.76905385038
"Uthai Thani",1511.38942989522
"Ubon Ratchathani",6398.20682627068
"Chiang Rai",8364.45629363477
"Chiang Mai",11504.7615655898
"Phetchabun",1976.95146309248
"Loei",6630.5963007034
"Phrae",6068.13171924389
"Mae Hong Son",4028.84220948578
