"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 1","1.0239","1.01","1.038"
"กาญจนบุรี","cumulative_Lag 1","1.0124","0.9856","1.0398"
"กำแพงเพชร","cumulative_Lag 1","0.9873","0.9374","1.0397"
"ขอนแก่น","cumulative_Lag 1","1.0339","1.0159","1.0521"
"จันทบุรี","cumulative_Lag 1","1.0032","0.9042","1.1131"
"ฉะเชิงเทรา","cumulative_Lag 1","1.0555","1.0224","1.0897"
"ชลบุรี","cumulative_Lag 1","1.0429","1.0171","1.0694"
"ตรัง","cumulative_Lag 1","0.9548","0.8343","1.0928"
"ตราด","cumulative_Lag 1","1.0854","0.9692","1.2156"
"ตาก","cumulative_Lag 1","0.9919","0.9593","1.0256"
"นครปฐม","cumulative_Lag 1","1.0273","0.9978","1.0576"
"นครพนม","cumulative_Lag 1","1.0078","0.9807","1.0356"
"นครราชสีมา","cumulative_Lag 1","1.0485","1.0289","1.0685"
"นครศรีธรรมราช","cumulative_Lag 1","1.0668","1.0069","1.1303"
"นครสวรรค์","cumulative_Lag 1","1.0174","0.9903","1.0452"
"นราธิวาส","cumulative_Lag 1","0.9678","0.9189","1.0194"
"น่าน","cumulative_Lag 1","1.0011","0.9804","1.0222"
"บุรีรัมย์","cumulative_Lag 1","1.0346","0.9864","1.0852"
"ปทุมธานี","cumulative_Lag 1","0.9968","0.9665","1.0282"
"ประจวบคีรีขันธ์","cumulative_Lag 1","1.0569","0.9828","1.1365"
"ปราจีนบุรี","cumulative_Lag 1","1.0394","1.005","1.075"
"พระนครศรีอยุธยา","cumulative_Lag 1","1.0101","0.9806","1.0404"
"พะเยา","cumulative_Lag 1","0.987","0.9654","1.009"
"พิจิตร","cumulative_Lag 1","1.0106","0.9501","1.0749"
"พิษณุโลก","cumulative_Lag 1","1.0254","1.0019","1.0495"
"ภูเก็ต","cumulative_Lag 1","0.9971","0.9022","1.1021"
"มุกดาหาร","cumulative_Lag 1","0.9691","0.843","1.1141"
"ยะลา","cumulative_Lag 1","1.0369","0.9779","1.0994"
"ระยอง","cumulative_Lag 1","1.053","1.0151","1.0924"
"ราชบุรี","cumulative_Lag 1","1.0372","1.0161","1.0587"
"ลพบุรี","cumulative_Lag 1","1.1214","1.0672","1.1784"
"ลำปาง","cumulative_Lag 1","0.993","0.9729","1.0135"
"ลำพูน","cumulative_Lag 1","0.9963","0.9699","1.0234"
"สกลนคร","cumulative_Lag 1","1.0038","0.9579","1.0518"
"สงขลา","cumulative_Lag 1","1.0289","0.9872","1.0723"
"สตูล","cumulative_Lag 1","0.9833","0.907","1.066"
"สมุทรปราการ","cumulative_Lag 1","1.0252","1.0001","1.0509"
"สมุทรสงคราม","cumulative_Lag 1","0.9934","0.9393","1.0506"
"สระแก้ว","cumulative_Lag 1","1.0286","0.9872","1.0718"
"สุพรรณบุรี","cumulative_Lag 1","0.9919","0.9578","1.0272"
"สุราษฎร์ธานี","cumulative_Lag 1","1.0234","0.977","1.072"
"สุโขทัย","cumulative_Lag 1","1.0359","1.0002","1.0729"
"หนองคาย","cumulative_Lag 1","1.0285","1.0042","1.0533"
"อุดรธานี","cumulative_Lag 1","1.0336","1.0013","1.067"
"อุตรดิตถ์","cumulative_Lag 1","0.9891","0.9347","1.0466"
"อุทัยธานี","cumulative_Lag 1","1.0247","0.9548","1.0998"
"อุบลราชธานี","cumulative_Lag 1","1.0206","1.0052","1.0362"
"เชียงราย","cumulative_Lag 1","0.9903","0.9804","1.0004"
"เชียงใหม่","cumulative_Lag 1","1.0133","0.9999","1.0268"
"เพชรบูรณ์","cumulative_Lag 1","1.0235","0.9678","1.0824"
"เลย","cumulative_Lag 1","1.0065","0.9836","1.0299"
"แพร่","cumulative_Lag 1","0.9929","0.9695","1.0169"
"แม่ฮ่องสอน","cumulative_Lag 1","1.0043","0.9782","1.0311"
