"Province","Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","Lag 3","1.006","1.0006","1.0114"
"กาญจนบุรี","Lag 3","0.9991","0.9882","1.0102"
"กำแพงเพชร","Lag 3","0.997","0.9735","1.021"
"ขอนแก่น","Lag 3","0.995","0.9884","1.0017"
"จันทบุรี","Lag 3","0.9953","0.951","1.0417"
"ฉะเชิงเทรา","Lag 3","0.9987","0.9859","1.0116"
"ชลบุรี","Lag 3","0.999","0.9892","1.0089"
"ตรัง","Lag 3","0.9941","0.9419","1.0492"
"ตราด","Lag 3","1.0087","0.9584","1.0617"
"ตาก","Lag 3","0.9989","0.9851","1.013"
"นครปฐม","Lag 3","1.0102","0.9987","1.0218"
"นครพนม","Lag 3","0.9954","0.9849","1.0059"
"นครราชสีมา","Lag 3","1.0042","0.9964","1.0121"
"นครศรีธรรมราช","Lag 3","0.9847","0.9617","1.0082"
"นครสวรรค์","Lag 3","1.0022","0.9912","1.0134"
"นราธิวาส","Lag 3","1.0097","0.989","1.0309"
"น่าน","Lag 3","1.0028","0.994","1.0116"
"บุรีรัมย์","Lag 3","1.0111","0.9902","1.0324"
"ปทุมธานี","Lag 3","1.0099","0.9976","1.0224"
"ประจวบคีรีขันธ์","Lag 3","1.0193","0.9877","1.0519"
"ปราจีนบุรี","Lag 3","1.0001","0.9864","1.014"
"พระนครศรีอยุธยา","Lag 3","1.0037","0.9921","1.0153"
"พะเยา","Lag 3","0.998","0.9888","1.0073"
"พิจิตร","Lag 3","1.0014","0.9759","1.0276"
"พิษณุโลก","Lag 3","1.0029","0.993","1.0129"
"ภูเก็ต","Lag 3","0.9916","0.9532","1.0316"
"มุกดาหาร","Lag 3","0.9836","0.9331","1.0368"
"ยะลา","Lag 3","1.0018","0.9791","1.025"
"ระยอง","Lag 3","0.9888","0.9747","1.0031"
"ราชบุรี","Lag 3","0.9944","0.9861","1.0028"
"ลพบุรี","Lag 3","0.9846","0.9641","1.0055"
"ลำปาง","Lag 3","1.002","0.9936","1.0105"
"ลำพูน","Lag 3","1.0066","0.9956","1.0177"
"สกลนคร","Lag 3","1.0088","0.9898","1.0281"
"สงขลา","Lag 3","1.0003","0.9844","1.0164"
"สตูล","Lag 3","0.9995","0.9686","1.0314"
"สมุทรปราการ","Lag 3","1.0017","0.9921","1.0114"
"สมุทรสงคราม","Lag 3","1.0256","1.0029","1.0489"
"สระแก้ว","Lag 3","1.0018","0.985","1.0189"
"สุพรรณบุรี","Lag 3","1.0053","0.9911","1.0196"
"สุราษฎร์ธานี","Lag 3","1.0138","0.9953","1.0326"
"สุโขทัย","Lag 3","0.9913","0.9762","1.0066"
"หนองคาย","Lag 3","0.989","0.9798","0.9983"
"อุดรธานี","Lag 3","1.007","0.9943","1.0199"
"อุตรดิตถ์","Lag 3","1.0157","0.9913","1.0406"
"อุทัยธานี","Lag 3","1.0079","0.9766","1.0401"
"อุบลราชธานี","Lag 3","0.9972","0.9912","1.0032"
"เชียงราย","Lag 3","1.0001","0.9959","1.0044"
"เชียงใหม่","Lag 3","0.9989","0.9936","1.0043"
"เพชรบูรณ์","Lag 3","0.9916","0.968","1.0157"
"เลย","Lag 3","0.9907","0.9813","1.0001"
"แพร่","Lag 3","0.9998","0.9901","1.0095"
"แม่ฮ่องสอน","Lag 3","1.0065","0.9942","1.019"
