"Province","Lag_Numeric","Lag_Description","RR","Lower","Upper"
"Bangkok",0,"Lag 0","1.0108","0.9975","1.0244"
"Buri Ram",0,"Lag 0","1.0324","0.9903","1.0763"
"Chachoengsao",0,"Lag 0","1.0333","1.0006","1.067"
"Chanthaburi",0,"Lag 0","0.9869","0.8876","1.0973"
"Chiang Mai",0,"Lag 0","1.0045","0.9911","1.018"
"Chiang Rai",0,"Lag 0","0.9912","0.9805","1.002"
"Chon Buri",0,"Lag 0","1.0204","0.9952","1.0462"
"Kamphaeng Phet",0,"Lag 0","1.019","0.9673","1.0734"
"Kanchanaburi",0,"Lag 0","1.0192","0.9926","1.0464"
"Khon Kaen",0,"Lag 0","1.0264","1.0098","1.0433"
"Lampang",0,"Lag 0","0.997","0.9753","1.0193"
"Lamphun",0,"Lag 0","1.001","0.9731","1.0297"
"Loei",0,"Lag 0","1.0149","0.992","1.0383"
"Lop Buri",0,"Lag 0","1.1023","1.0499","1.1573"
"Mae Hong Son",0,"Lag 0","1.0076","0.9825","1.0333"
"Mukdahan",0,"Lag 0","1.0541","0.9365","1.1864"
"Nakhon Pathom",0,"Lag 0","1.0036","0.9748","1.0332"
"Nakhon Phanom",0,"Lag 0","1.0173","0.9945","1.0406"
"Nakhon Ratchasima",0,"Lag 0","1.0319","1.0124","1.0516"
"Nakhon Sawan",0,"Lag 0","0.9999","0.9739","1.0265"
"Nakhon Si Thammarat",0,"Lag 0","1.0192","0.9666","1.0747"
"Nan",0,"Lag 0","0.9994","0.9754","1.0239"
"Narathiwat",0,"Lag 0","0.9844","0.9377","1.0334"
"Nong Khai",0,"Lag 0","1.0197","0.9975","1.0424"
"Pathum Thani",0,"Lag 0","0.9765","0.9467","1.0072"
"Phayao",0,"Lag 0","0.9887","0.9653","1.0127"
"Phetchabun",0,"Lag 0","1.0103","0.9597","1.0636"
"Phichit",0,"Lag 0","0.9601","0.9019","1.0221"
"Phitsanulok",0,"Lag 0","1.0311","1.0071","1.0558"
"Phra Nakhon Si Ayutthaya",0,"Lag 0","1.0049","0.9757","1.0351"
"Phrae",0,"Lag 0","0.9925","0.9672","1.0186"
"Phuket",0,"Lag 0","0.9753","0.8878","1.0714"
"Prachin Buri",0,"Lag 0","1.0059","0.9744","1.0385"
"Prachuap Khiri Khan",0,"Lag 0","1.0528","0.983","1.1275"
"Ratchaburi",0,"Lag 0","1.0212","0.9997","1.0431"
"Rayong",0,"Lag 0","1.0277","0.9919","1.0648"
"Sa Kaeo",0,"Lag 0","1.0175","0.978","1.0586"
"Sakon Nakhon",0,"Lag 0","1.0069","0.9664","1.0491"
"Samut Prakan",0,"Lag 0","1.0048","0.981","1.0292"
"Samut Songkhram",0,"Lag 0","1.0025","0.949","1.0591"
"Satun",0,"Lag 0","1.0228","0.9476","1.104"
"Songkhla",0,"Lag 0","1.0241","0.9843","1.0655"
"Sukhothai",0,"Lag 0","1.0272","0.9921","1.0635"
"Suphan Buri",0,"Lag 0","1.0144","0.9811","1.0488"
"Surat Thani",0,"Lag 0","1.0181","0.975","1.0632"
"Tak",0,"Lag 0","1.0028","0.969","1.0378"
"Trang",0,"Lag 0","0.9447","0.832","1.0726"
"Trat",0,"Lag 0","1.1466","1.0203","1.2886"
"Ubon Ratchathani",0,"Lag 0","1.0153","1.0005","1.0302"
"Udon Thani",0,"Lag 0","1.0309","1.0009","1.0618"
"Uthai Thani",0,"Lag 0","0.9734","0.9098","1.0415"
"Uttaradit",0,"Lag 0","0.971","0.9108","1.0352"
"Yala",0,"Lag 0","0.9869","0.9333","1.0435"
"Bangkok",1,"Lag 1","1.0107","1.0047","1.0167"
"Buri Ram",1,"Lag 1","1.0087","0.9881","1.0296"
"Chachoengsao",1,"Lag 1","1.0199","1.0052","1.0347"
"Chanthaburi",1,"Lag 1","0.996","0.949","1.0454"
"Chiang Mai",1,"Lag 1","1.0055","0.9996","1.0115"
"Chiang Rai",1,"Lag 1","0.9975","0.9928","1.0023"
"Chon Buri",1,"Lag 1","1.0169","1.0059","1.028"
"Kamphaeng Phet",1,"Lag 1","0.984","0.9608","1.0076"
"Kanchanaburi",1,"Lag 1","1.0021","0.9905","1.014"
"Khon Kaen",1,"Lag 1","1.01","1.0025","1.0175"
"Lampang",1,"Lag 1","0.9966","0.9873","1.006"
"Lamphun",1,"Lag 1","0.9988","0.9872","1.0106"
"Loei",1,"Lag 1","0.9968","0.9865","1.0073"
"Lop Buri",1,"Lag 1","1.0247","1.0028","1.0471"
"Mae Hong Son",1,"Lag 1","1.0017","0.9904","1.0132"
"Mukdahan",1,"Lag 1","0.9862","0.9273","1.0488"
"Nakhon Pathom",1,"Lag 1","1.0165","1.0039","1.0293"
