"Province","Lag","RR","Lower","Upper"
"Bangkok","Lag 3","1.0077","1.0018","1.0137"
"Buri Ram","Lag 3","1.0069","0.9859","1.0283"
"Chachoengsao","Lag 3","1.0009","0.9866","1.0155"
"Chanthaburi","Lag 3","1.0137","0.9658","1.0641"
"Chiang Mai","Lag 3","1.0016","0.9955","1.0076"
"Chiang Rai","Lag 3","1.001","0.9963","1.0057"
"Chon Buri","Lag 3","1.0019","0.9911","1.0128"
"Kamphaeng Phet","Lag 3","0.9985","0.9724","1.0254"
"Kanchanaburi","Lag 3","0.9945","0.9828","1.0063"
"Khon Kaen","Lag 3","0.9926","0.9853","0.9999"
"Lampang","Lag 3","1.0025","0.9928","1.0122"
"Lamphun","Lag 3","1.0042","0.9917","1.0168"
"Loei","Lag 3","0.9884","0.9778","0.999"
"Lop Buri","Lag 3","0.9821","0.96","1.0046"
"Mae Hong Son","Lag 3","1.0012","0.9897","1.0128"
"Mukdahan","Lag 3","0.9668","0.9118","1.0251"
"Nakhon Pathom","Lag 3","1.0154","1.0026","1.0284"
"Nakhon Phanom","Lag 3","0.9955","0.9844","1.0068"
"Nakhon Ratchasima","Lag 3","1.0036","0.995","1.0122"
"Nakhon Sawan","Lag 3","1.0079","0.9957","1.0203"
"Nakhon Si Thammarat","Lag 3","1.0052","0.9802","1.0309"
"Nan","Lag 3","0.9987","0.9881","1.0095"
"Narathiwat","Lag 3","1.0121","0.9897","1.0349"
"Nong Khai","Lag 3","0.9902","0.9802","1.0004"
"Pathum Thani","Lag 3","1.0169","1.0031","1.0308"
"Phayao","Lag 3","0.9992","0.9882","1.0102"
"Phetchabun","Lag 3","1.0001","0.9743","1.0265"
"Phichit","Lag 3","1.0209","0.9924","1.0503"
"Phitsanulok","Lag 3","0.9995","0.9887","1.0105"
"Phra Nakhon Si Ayutthaya","Lag 3","1.0044","0.9914","1.0176"
"Phrae","Lag 3","1.0053","0.9939","1.0167"
"Phuket","Lag 3","1.0068","0.9634","1.0521"
"Prachin Buri","Lag 3","1.0069","0.9923","1.0217"
"Prachuap Khiri Khan","Lag 3","1.016","0.9833","1.0498"
"Ratchaburi","Lag 3","0.9955","0.9865","1.0047"
"Rayong","Lag 3","0.9951","0.9793","1.0111"
"Sa Kaeo","Lag 3","1.0027","0.985","1.0207"
"Sakon Nakhon","Lag 3","1.0071","0.9874","1.0271"
"Samut Prakan","Lag 3","1.0031","0.9925","1.0138"
"Samut Songkhram","Lag 3","1.0215","0.9979","1.0456"
"Satun","Lag 3","0.9958","0.963","1.0298"
"Songkhla","Lag 3","0.9996","0.9822","1.0173"
"Sukhothai","Lag 3","0.9946","0.9782","1.0113"
"Suphan Buri","Lag 3","1.0055","0.9901","1.0212"
"Surat Thani","Lag 3","1.0143","0.9941","1.0349"
"Tak","Lag 3","0.9957","0.9805","1.0111"
"Trang","Lag 3","0.9848","0.9289","1.0442"
"Trat","Lag 3","0.9624","0.9141","1.0132"
"Ubon Ratchathani","Lag 3","0.9969","0.9902","1.0036"
"Udon Thani","Lag 3","1.0036","0.99","1.0173"
"Uthai Thani","Lag 3","1.032","0.9992","1.0659"
"Uttaradit","Lag 3","1.0176","0.9895","1.0466"
"Yala","Lag 3","1.0079","0.9832","1.0332"
