"Province","cumulative_Lag","RR","Lower","Upper"
"Bangkok","cumulative_Lag 0","1.0133","1.0038","1.0228"
"Buri Ram","cumulative_Lag 0","1.0182","0.9856","1.0519"
"Chachoengsao","cumulative_Lag 0","1.0348","1.0125","1.0575"
"Chanthaburi","cumulative_Lag 0","1.0039","0.9333","1.0798"
"Chiang Mai","cumulative_Lag 0","1.0086","0.9994","1.0178"
"Chiang Rai","cumulative_Lag 0","0.9939","0.9869","1.0009"
"Chon Buri","cumulative_Lag 0","1.0267","1.0092","1.0445"
"Kamphaeng Phet","cumulative_Lag 0","0.9937","0.9594","1.0292"
"Kanchanaburi","cumulative_Lag 0","1.0082","0.9897","1.0271"
"Khon Kaen","cumulative_Lag 0","1.0217","1.0097","1.0338"
"Lampang","cumulative_Lag 0","0.9952","0.9812","1.0093"
"Lamphun","cumulative_Lag 0","0.9969","0.9786","1.0155"
"Loei","cumulative_Lag 0","1.0071","0.9913","1.0231"
"Lop Buri","cumulative_Lag 0","1.0791","1.0431","1.1163"
"Mae Hong Son","cumulative_Lag 0","1.0038","0.9863","1.0216"
"Mukdahan","cumulative_Lag 0","1.0189","0.9265","1.1206"
"Nakhon Pathom","cumulative_Lag 0","1.0146","0.9946","1.0351"
"Nakhon Phanom","cumulative_Lag 0","1.0069","0.989","1.0252"
"Nakhon Ratchasima","cumulative_Lag 0","1.0288","1.0154","1.0423"
"Nakhon Sawan","cumulative_Lag 0","1.0103","0.9918","1.0291"
"Nakhon Si Thammarat","cumulative_Lag 0","1.0465","1.0058","1.0888"
"Nan","cumulative_Lag 0","0.9996","0.9853","1.0141"
"Narathiwat","cumulative_Lag 0","0.9784","0.9445","1.0135"
"Nong Khai","cumulative_Lag 0","1.0211","1.0047","1.0377"
"Pathum Thani","cumulative_Lag 0","0.9953","0.9744","1.0167"
"Phayao","cumulative_Lag 0","0.9924","0.9773","1.0077"
"Phetchabun","cumulative_Lag 0","1.0173","0.9796","1.0564"
"Phichit","cumulative_Lag 0","1.0063","0.965","1.0494"
"Phitsanulok","cumulative_Lag 0","1.0151","0.999","1.0315"
"Phra Nakhon Si Ayutthaya","cumulative_Lag 0","1.0056","0.9855","1.0262"
"Phrae","cumulative_Lag 0","0.9967","0.9806","1.013"
"Phuket","cumulative_Lag 0","0.9965","0.9317","1.0657"
"Prachin Buri","cumulative_Lag 0","1.0245","1.0008","1.0488"
"Prachuap Khiri Khan","cumulative_Lag 0","1.0298","0.9791","1.0831"
"Ratchaburi","cumulative_Lag 0","1.0244","1.0099","1.0392"
"Rayong","cumulative_Lag 0","1.0392","1.0134","1.0657"
"Sa Kaeo","cumulative_Lag 0","1.0166","0.9878","1.0463"
"Sakon Nakhon","cumulative_Lag 0","0.9999","0.9683","1.0325"
"Samut Prakan","cumulative_Lag 0","1.0142","0.9972","1.0316"
"Samut Songkhram","cumulative_Lag 0","0.9785","0.9433","1.015"
"Satun","cumulative_Lag 0","0.9993","0.9475","1.0538"
"Songkhla","cumulative_Lag 0","1.0178","0.9895","1.0469"
"Sukhothai","cumulative_Lag 0","1.0253","1.0011","1.0502"
"Suphan Buri","cumulative_Lag 0","0.994","0.9706","1.018"
"Surat Thani","cumulative_Lag 0","1.0117","0.9805","1.044"
"Tak","cumulative_Lag 0","0.9943","0.9718","1.0174"
"Trang","cumulative_Lag 0","0.9719","0.8868","1.0652"
"Trat","cumulative_Lag 0","1.0669","0.9889","1.1509"
"Ubon Ratchathani","cumulative_Lag 0","1.0136","1.0031","1.0241"
"Udon Thani","cumulative_Lag 0","1.0188","0.9969","1.0412"
"Uthai Thani","cumulative_Lag 0","1.0137","0.9656","1.0643"
"Uttaradit","cumulative_Lag 0","0.9892","0.9508","1.0291"
"Yala","cumulative_Lag 0","1.0208","0.9809","1.0624"
