"Province","RR","Lower","Upper"
"Bangkok",1.0481,1.0282,1.0684
"Buri Ram",1.067,1.0018,1.1365
"Chachoengsao",1.0749,1.0269,1.1252
"Chanthaburi",1.0369,0.9274,1.1594
"Chiang Mai",1.0188,1.0018,1.036
"Chiang Rai",0.9891,0.9785,0.9997
"Chon Buri",1.0566,1.0197,1.095
"Kamphaeng Phet",1.0455,0.9648,1.1329
"Kanchanaburi",1.0115,0.9774,1.0468
"Khon Kaen",1.0123,0.9859,1.0394
"Lampang",1.0059,0.9784,1.0342
"Lamphun",1.0065,0.9709,1.0435
"Loei",0.9946,0.9617,1.0286
"Lop Buri",1.1188,1.0388,1.205
"Mae Hong Son",1.0174,0.9878,1.0479
"Mukdahan",0.9701,0.7793,1.2077
"Nakhon Pathom",1.0684,1.0271,1.1114
"Nakhon Phanom",1.0267,0.9843,1.071
"Nakhon Ratchasima",1.0692,1.0425,1.0966
"Nakhon Sawan",1.0384,1.0004,1.0779
"Nakhon Si Thammarat",1.1032,1.0236,1.189
"Nan",0.9782,0.9514,1.0059
"Narathiwat",1.0437,0.9725,1.1203
"Nong Khai",1.0116,0.9775,1.0469
"Pathum Thani",1.0274,0.9859,1.0707
"Phayao",0.9785,0.9491,1.0087
"Phetchabun",1.0269,0.9478,1.1126
"Phichit",1.026,0.9413,1.1183
"Phitsanulok",1.0513,1.0192,1.0844
"Phra Nakhon Si Ayutthaya",1.022,0.9807,1.0651
"Phrae",1.0306,0.9972,1.0652
"Phuket",1.0614,0.9175,1.2279
"Prachin Buri",1.0317,0.9873,1.078
"Prachuap Khiri Khan",1.1457,1.0508,1.2492
"Ratchaburi",1.028,1.0022,1.0546
"Rayong",1.076,1.0232,1.1315
"Sa Kaeo",1.0447,0.9936,1.0984
"Sakon Nakhon",1.0287,0.9603,1.102
"Samut Prakan",1.0143,0.9794,1.0504
"Samut Songkhram",1.061,0.9879,1.1395
"Satun",1.0088,0.8981,1.1331
"Songkhla",1.0311,0.9684,1.0978
"Sukhothai",1.0338,0.9893,1.0802
"Suphan Buri",1.0538,1.0071,1.1026
"Surat Thani",1.0823,1.0094,1.1605
"Tak",0.9899,0.9477,1.034
"Trang",0.8339,0.6924,1.0043
"Trat",1.0577,0.936,1.1951
"Ubon Ratchathani",1.0129,0.9896,1.0368
"Udon Thani",1.0564,1.0087,1.1065
"Uthai Thani",1.1069,1.0076,1.216
"Uttaradit",0.9945,0.9244,1.07
"Yala",0.9956,0.9186,1.079
