"Province","Q-AIC"
"Bangkok",13529.7505178404
"Buri Ram",2054.45135004941
"Chachoengsao",6254.34257144394
"Chanthaburi",1736.44072780019
"Chiang Mai",11509.4655292822
"Chiang Rai",8368.98606660094
"Chon Buri",9771.78590059617
"Kamphaeng Phet",1795.80750411591
"Kanchanaburi",9561.35693692211
"Khon Kaen",10166.5837601342
"Lampang",7105.46058547887
"Lamphun",6622.51054365284
"Loei",6597.69063208705
"Lop Buri",1960.30558412629
"Mae Hong Son",3657.49952209593
"Mukdahan",944.086345626063
"Nakhon Pathom",6068.77027138083
"Nakhon Phanom",3578.12059972173
"Nakhon Ratchasima",8149.45405000226
"Nakhon Sawan",7621.56737239193
"Nakhon Si Thammarat",4608.61825830316
"Nan",7290.87794809293
"Narathiwat",8665.92737412162
"Nong Khai",4701.37616993754
"Nonthaburi",NA
"Pathum Thani",6506.05673152434
"Phayao",5648.5697751721
"Phetchabun",1957.28994463435
"Phichit",1775.55868735106
"Phitsanulok",3987.78974040211
"Phra Nakhon Si Ayutthaya",7225.50781568987
"Phrae",5983.52468245453
"Phuket",4466.51105383827
"Prachin Buri",8208.01320699709
"Prachuap Khiri Khan",1595.96443313488
"Ratchaburi",9708.07655257091
"Rayong",8400.57261136072
"Sa Kaeo",6196.67391589938
"Sakon Nakhon",3214.28541030781
"Samut Prakan",9480.23202543109
"Samut Sakhon",NA
"Samut Songkhram",3225.31880597625
"Saraburi",NA
"Satun",6045.47534416785
"Songkhla",9261.9146090037
"Sukhothai",1740.10973997879
"Suphan Buri",4153.52556339641
"Surat Thani",7613.99038388863
"Tak",7298.40907514788
"Trang",2988.28679084077
"Trat",2384.38610047326
"Ubon Ratchathani",6368.21127873092
"Udon Thani",3828.96270949283
"Uthai Thani",1501.04733311694
"Uttaradit",2695.19325823024
"Yala",8790.53900491274
